,Team,MatchID,Split No.,Period,Delta Time,Split Reason,Splitting Team,Delta xG,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
18,Real Madrid,18244,0,1,19,game start,,0.11433406,True,True,1.4636363636363636,2,3,2.3636363636363638,Carlos Henrique Casimiro,0.2882291089747246,0.5727272727272728,0.656694072686771
19,Real Madrid,18244,1,1,24,goal,Juventus,0.34220322,True,True,1.5363636363636364,2,3,2.3636363636363638,Carlos Henrique Casimiro,0.2860822362152347,0.5363636363636364,0.6458302733553519
20,Real Madrid,18244,2,2,18,break,Juventus,0.346467832,True,True,1.6090909090909091,2,3,2.3636363636363638,Carlos Henrique Casimiro,0.2806345688395413,0.4636363636363636,0.6731057020499536
21,Real Madrid,18244,3,2,29,goal,Juventus,0.69159945,True,True,1.5897435897435896,2,3,2.3846153846153846,Carlos Henrique Casimiro,0.2648123555362193,0.46794871794871795,0.539873008486469
22,Real Madrid,18243,0,1,45,game start,,0.8845719969999999,True,True,1.2272727272727273,2,2,2,Carlos Henrique Casimiro,0.2941641954174158,0.7727272727272727,0.781701668489216
23,Real Madrid,18243,1,2,26,break,Atlético Madrid,0.43021086000000003,True,False,1.5757575757575757,Error,Error,Error,Error,0.2580788080148915,0.38636363636363635,0.4344959379159496
24,Real Madrid,18243,2,2,34,sub,Atlético Madrid,0.805906366,True,True,1.490909090909091,2,3,2.090909090909091,Carlos Henrique Casimiro,0.28688232615757314,0.5545454545454546,0.6399133772672959
25,Real Madrid,18243,3,4,17,break,Atlético Madrid,0.195748451,True,False,1.5818181818181818,Error,Error,Error,Error,0.2632241421727617,0.36363636363636365,0.47084414722995654
26,Atlético Madrid,18243,0,1,46,game start,,0.16237866299999998,True,True,1.288888888888889,2,3,2.2,Augusto Matías Fernández,0.3020772749648165,0.7333333333333333,0.7967088319380042
27,Atlético Madrid,18243,1,2,26,break,Atlético Madrid,1.448130687,True,True,1.6333333333333333,2,4,2.7,Diego Roberto Godín Leal,0.27227386516434054,0.5111111111111111,0.5397584363770322
28,Atlético Madrid,18243,2,2,34,sub,Atlético Madrid,0.5726908799999999,True,False,1.2454545454545454,Error,Error,Error,Error,0.28201629445864296,0.5818181818181818,0.6702603052253292
29,Atlético Madrid,18243,3,4,17,break,Atlético Madrid,0.0,True,False,2.106060606060606,Error,Error,Error,Error,0.2489719387084824,0.22727272727272727,0.20085172395543913
30,Juventus,18242,0,1,45,game start,,0.27992,True,True,1.4,2,3,2.1818181818181817,Andrea Barzagli,0.2892870593862871,0.6181818181818182,0.6104047929952789
31,Juventus,18242,1,2,22,break,Barcelona,0.867820605,True,True,1.5636363636363637,2,4,2.5454545454545454,Andrea Barzagli,0.28506275180237733,0.5,0.5019900220733179
32,Juventus,18242,2,2,29,goal,Juventus,0.140568731,True,True,1.9294871794871795,2,5,3.076923076923077,Andrea Barzagli,0.24637677564839877,0.3269230769230769,0.44216239306395266
33,Barcelona,18242,0,1,45,game start,,0.805794097,True,True,1.2727272727272727,2,2,2,Andrés Iniesta Luján,0.2916158509219092,0.7272727272727273,0.7708670398317177
34,Barcelona,18242,1,2,22,break,Barcelona,0.786639768,True,True,1.4727272727272727,2,3,2.272727272727273,Andrés Iniesta Luján,0.2882658419059152,0.5636363636363636,0.6215811602330104
35,Barcelona,18242,2,2,27,goal,Juventus,0.9412444209999999,True,True,1.9545454545454546,2,4,3.0833333333333335,Lionel Andrés Messi Cuccittini,0.26179682551853034,0.3106060606060606,0.34568699274581627
36,Real Madrid,18241,0,1,45,game start,,0.15581047,True,True,1.3363636363636364,2,3,2.090909090909091,Cristiano Ronaldo dos Santos Aveiro,0.28626933396176923,0.6727272727272727,0.7565103772175074
37,Real Madrid,18241,1,2,20,break,Atlético Madrid,0.26207613399999996,True,True,1.8076923076923077,2,4,2.923076923076923,Luka Modrić,0.2549407994657982,0.3525641025641026,0.44625001682903254
38,Real Madrid,18241,2,2,30,sub,Real Madrid,0.225488292,True,True,1.481818181818182,2,3,2.3636363636363638,Daniel Carvajal Ramos,0.2825317809252891,0.5636363636363636,0.6674413902665347
39,Real Madrid,18241,3,3,15,break,Real Madrid,0.073277748,True,True,1.5555555555555556,2,3,2.2,Cristiano Ronaldo dos Santos Aveiro,0.30952583457039456,0.4888888888888889,0.549442794263583
40,Real Madrid,18241,4,4,18,break,Atlético Madrid,1.58406045,True,False,1.7363636363636363,Error,Error,Error,Error,0.26035374095259284,0.2909090909090909,0.31903312500772724
41,Atlético Madrid,18241,0,1,46,game start,,0.39785329999999997,True,False,1.4393939393939394,Error,Error,Error,Error,0.258342699824613,0.44696969696969696,0.4987713115989595
42,Atlético Madrid,18241,1,2,20,break,Atlético Madrid,0.279003102,True,True,1.711111111111111,2,3,2.4,Adrián López Álvarez,0.30391575287993894,0.4,0.4536085156673392
43,Atlético Madrid,18241,2,2,25,sub,Real Madrid,0.053264573,True,False,1.2818181818181817,Error,Error,Error,Error,0.24340148941952372,0.3181818181818182,0.5380761489166377
44,Atlético Madrid,18241,3,3,16,break,Real Madrid,0.0,True,False,2.022222222222222,Error,Error,Error,Error,0.23880471865430639,0.18888888888888888,0.14108187134502922
45,Atlético Madrid,18241,4,4,18,break,Atlético Madrid,0.22204494600000002,True,False,1.2555555555555555,Error,Error,Error,Error,0.23289677036580464,0.2222222222222222,0.30818181818181817
46,Borussia Dortmund,18240,0,1,45,game start,,0.325770237,True,True,1.3272727272727274,2,2,2,Jakub Błaszczykowski,0.29398387465900505,0.6727272727272727,0.7049999878350217
