,Team,MatchID,Split No.,Period,Delta Time,Delta xG,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
22,Real Madrid,18243,0,1,45,0.8845719969999999,Error,Error,1.1272727272727272,1,2,1.7272727272727273,Daniel Carvajal Ramos,0.3001895066065056,0.8727272727272727,0.8746031746031747
23,Real Madrid,18243,1,2,26,0.43021086000000003,Error,Error,1.4393939393939394,2,3,2.5,Carlos Henrique Casimiro,0.2752022402734534,0.6363636363636364,0.6689153439153439
24,Real Madrid,18243,2,2,34,0.805906366,Error,Error,1.2727272727272727,2,2,2,Carlos Henrique Casimiro,0.2949622242113193,0.7272727272727273,0.7577200577200576
25,Real Madrid,18243,3,4,20,3.995748451,Error,Error,1.4727272727272727,2,3,2.1818181818181817,Carlos Henrique Casimiro,0.28827208162244744,0.5454545454545454,0.6004329004329004
26,Atlético Madrid,18243,0,1,46,0.16237866299999998,Error,Error,1.1555555555555554,1,2,1.9,Stefan Savić,0.3118270239339968,0.8444444444444444,0.8519841269841271
27,Atlético Madrid,18243,1,2,26,1.448130687,Error,Error,1.288888888888889,2,2,2,Antoine Griezmann,0.31215367414498096,0.7111111111111111,0.7128571428571429
28,Atlético Madrid,18243,2,2,34,0.5726908799999999,Error,Error,1.2545454545454546,1,2,1.9090909090909092,Saúl Ñíguez Esclapez,0.2951924072363726,0.7454545454545455,0.8388888888888889
29,Atlético Madrid,18243,3,4,20,3.04,Error,Error,1.8484848484848484,2,4,2.9166666666666665,Gabriel Fernández Arenas,0.2655223296995493,0.3484848484848485,0.24285714285714285
30,Juventus,18242,0,1,45,0.27992,Error,Error,1.2,2,2,2,Andrea Barzagli,0.2993759706894127,0.8,0.7949494949494949
31,Juventus,18242,1,2,22,0.867820605,Error,Error,1.309090909090909,2,2,2,Andrea Barzagli,0.2979316339165485,0.6909090909090909,0.685930735930736
32,Juventus,18242,2,2,29,0.140568731,Error,Error,1.564102564102564,2,3,2.3076923076923075,Andrea Barzagli,0.26342884970680625,0.47435897435897434,0.5522588522588523
33,Barcelona,18242,0,1,45,0.805794097,Error,Error,1.1272727272727272,1,2,1.6363636363636365,Andrés Iniesta Luján,0.2998302506686812,0.8727272727272727,0.8817460317460317
34,Barcelona,18242,1,2,22,0.786639768,Error,Error,1.3272727272727274,2,2,2,Andrés Iniesta Luján,0.2951366335416627,0.6727272727272727,0.6917027417027417
35,Barcelona,18242,2,2,27,0.9412444209999999,Error,Error,1.6515151515151516,2,4,2.8333333333333335,Daniel Alves da Silva,0.27364127269963445,0.4696969696969697,0.5075396825396825
36,Real Madrid,18241,0,1,45,0.15581047,Error,Error,1.2363636363636363,1,2,1.9090909090909092,Daniel Carvajal Ramos,0.2949986262087205,0.7636363636363637,0.8357142857142857
37,Real Madrid,18241,1,2,20,0.26207613399999996,Error,Error,1.5384615384615385,2,3,2.3076923076923075,Cristiano Ronaldo dos Santos Aveiro,0.2632172431797047,0.5,0.5818681318681318
38,Real Madrid,18241,2,2,30,0.225488292,Error,Error,1.2545454545454546,2,2,2,Cristiano Ronaldo dos Santos Aveiro,0.29469114102745647,0.7454545454545455,0.8243867243867243
39,Real Madrid,18241,3,3,15,0.073277748,Error,Error,1.3555555555555556,1,2,1.9,Luka Modrić,0.3093825328420792,0.6444444444444445,0.696031746031746
40,Real Madrid,18241,4,4,18,1.58406045,Error,Error,1.6363636363636365,2,3,2.5454545454545454,Marcelo Vieira da Silva Júnior,0.28621585665479066,0.45454545454545453,0.5086580086580087
41,Atlético Madrid,18241,0,1,46,0.39785329999999997,Error,Error,1.4696969696969697,2,3,2.3333333333333335,Adrián López Álvarez,0.2755198371573727,0.5757575757575758,0.5373677248677248
42,Atlético Madrid,18241,1,2,20,0.279003102,Error,Error,1.4222222222222223,2,2,2,Adrián López Álvarez,0.3073635448269863,0.5777777777777777,0.6390476190476191
43,Atlético Madrid,18241,2,2,25,0.053264573,Error,Error,1.5636363636363637,2,3,2.272727272727273,Adrián López Álvarez,0.2775487712996446,0.4727272727272727,0.6766233766233767
44,Atlético Madrid,18241,3,3,16,0.0,Error,Error,1.9111111111111112,2,4,3,Adrián López Álvarez,0.2893431067195241,0.3333333333333333,0.25999999999999995
45,Atlético Madrid,18241,4,4,18,0.22204494600000002,Error,Error,1.9333333333333333,2,4,3.2,David Villa Sánchez,0.278303906673988,0.35555555555555557,0.43999999999999995
46,Borussia Dortmund,18240,0,1,45,0.325770237,Error,Error,1.1272727272727272,1,2,1.7272727272727273,Kevin Großkreutz,0.2998672904948984,0.8727272727272727,0.88001443001443
47,Borussia Dortmund,18240,1,2,22,0.856982736,Error,Error,1.4,2,2,2,Jakub Błaszczykowski,0.2916791592247357,0.6,0.6995670995670995
48,Borussia Dortmund,18240,2,2,26,0.159306064,Error,Error,1.7307692307692308,2,3,2.4615384615384617,Jakub Błaszczykowski,0.25621327317338805,0.358974358974359,0.47051282051282056
49,Bayern Munich,18240,0,1,45,0.8886058990000001,Error,Error,1.0909090909090908,1,2,1.7272727272727273,Bastian Schweinsteiger,0.30059086880982433,0.9090909090909091,0.9054834054834057
50,Bayern Munich,18240,1,2,21,1.199652214,Error,Error,1.3454545454545455,2,2,2,Arjen Robben,0.2990361079511968,0.6545454545454545,0.5681818181818182
51,Bayern Munich,18240,2,2,27,0.914558776,Error,Error,1.606060606060606,2,3,2.5,Arjen Robben,0.26872631663103014,0.4696969696969697,0.43624338624338616
52,Bayern Munich,18237,0,1,45,0.936912151,Error,Error,1.2,1,2,1.9090909090909092,Bastian Schweinsteiger,0.2983255477226746,0.8,0.8254689754689756
53,Bayern Munich,18237,1,2,27,0.516359581,Error,Error,1.4,1,2,1.9090909090909092,Bastian Schweinsteiger,0.29131487238906156,0.6,0.7691919191919193
54,Bayern Munich,18237,2,2,17,0.545765605,Error,Error,1.5303030303030303,2,3,2.25,Anatoliy Tymoshchuk,0.26733404558009694,0.5,0.6063492063492063
55,Bayern Munich,18237,3,3,37,5.239912541,Error,Error,1.4242424242424243,2,3,2.25,Anatoliy Tymoshchuk,0.2771605076482168,0.6060606060606061,0.725
56,Chelsea,18237,0,1,46,0.08311545000000001,Error,Error,1.2363636363636363,2,2,2,Ashley Cole,0.29926005176023845,0.7636363636363637,0.7696969696969697
57,Chelsea,18237,1,2,27,0.032809219,Error,Error,1.2363636363636363,2,2,2,Ashley Cole,0.30000331149362797,0.7636363636363637,0.7514430014430015
58,Chelsea,18237,2,2,21,0.114109875,Error,Error,1.5606060606060606,2,3,2.1666666666666665,Ashley Cole,0.2723008994865972,0.45454545454545453,0.6474867724867724
59,Chelsea,18237,3,3,37,3.847598111,Error,Error,1.2727272727272727,2,2,2,Ashley Cole,0.29847058394281534,0.7272727272727273,0.7150072150072151
60,Barcelona,18236,0,1,26,0.532367383,Error,Error,1.2181818181818183,1,2,1.9090909090909092,Xavier Hernández Creus,0.29805341198015867,0.7818181818181819,0.8069985569985569
61,Barcelona,18236,1,1,18,0.47364745599999997,Error,Error,1.3272727272727274,2,2,2,Andrés Iniesta Luján,0.29346465347286,0.6727272727272727,0.7696969696969695
62,Barcelona,18236,2,2,22,0.708008084,Error,Error,1.309090909090909,2,2,2,Andrés Iniesta Luján,0.29419593484660406,0.6909090909090909,0.7549062049062049
63,Barcelona,18236,3,2,25,0.118840473,Error,Error,1.4505494505494505,2,3,2.2142857142857144,Andrés Iniesta Luján,0.25393270572626775,0.5714285714285714,0.6046485260770975
64,Manchester United,18236,0,1,26,0.04244132,Error,Error,1.2545454545454546,1,2,1.9090909090909092,Michael Carrick,0.29790750793714393,0.7454545454545455,0.7583694083694084
65,Manchester United,18236,1,1,19,0.29245424,Error,Error,1.7454545454545454,2,4,2.909090909090909,Ryan Giggs,0.28139043185672263,0.41818181818181815,0.506060606060606
