,Team,MatchID,Split No.,Delta Time,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
59,Barcelona,18242,0,44,Error,Error,1.2727272727272727,2,2,2,Andrés Iniesta Luján,0.2916158509219092,0.7272727272727273,0.7708670398317177
60,Barcelona,18242,1,9,Error,Error,1.7181818181818183,2,4,2.727272727272727,Andrés Iniesta Luján,0.2871006722206237,0.41818181818181815,0.40837573926488824
61,Barcelona,18242,2,12,Error,Error,1.7727272727272727,2,4,2.8181818181818183,Gerard Piqué Bernabéu,0.2745077332674048,0.37272727272727274,0.5574969887227973
62,Barcelona,18242,3,4,Error,Error,1.2333333333333334,Error,Error,Error,Error,0.3244164347159391,0.26666666666666666,0.22083333333333333
63,Barcelona,18242,4,9,Error,Error,1.8444444444444446,Error,Error,Error,Error,0.25054451377201326,0.2111111111111111,0.20704761904761904
64,Barcelona,18242,5,7,Error,Error,2.2555555555555555,Error,Error,Error,Error,0.25667077343764555,0.16666666666666666,0
65,Real Madrid,18241,0,8,Error,Error,1.7454545454545454,2,4,2.8181818181818183,Karim Benzema,0.2806459413774465,0.4,0.4125904751198676
66,Real Madrid,18241,1,25,Error,Error,1.6090909090909091,2,3,2.5454545454545454,Daniel Carvajal Ramos,0.27399317356993597,0.4727272727272727,0.586237207633017
67,Real Madrid,18241,2,9,Error,Error,1.8,2,4,2.909090909090909,Daniel Carvajal Ramos,0.27571266337764117,0.37272727272727274,0.4562632036591654
68,Real Madrid,18241,3,11,Error,Error,2.0727272727272728,2,4,3.3636363636363638,Iker Casillas Fernández,0.2780590970710188,0.2909090909090909,0.24473516679399032
69,Real Madrid,18241,4,6,Error,Error,1.9305555555555556,2,5,3.2222222222222223,Daniel Carvajal Ramos,0.2951545216761652,0.3611111111111111,0.392342965676299
