,Team,MatchID,Split No.,Period,Delta Time,Delta xG,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
144,West Ham United LFC,3775609,1,1,14,0.155246702,True,False,2.0545454545454547,Error,Error,Error,Error,0.259431619571632,0.21818181818181817,0.32614052614052613
145,West Ham United LFC,3775609,2,2,10,0.016119216,True,True,2.0972222222222223,3,5,3.4444444444444446,Kate Longhurst,0.3131552112252777,0.3194444444444444,0.2547720797720798
146,West Ham United LFC,3775609,3,2,15,0.0,True,False,1.8111111111111111,Error,Error,Error,Error,0.2781372821627409,0.26666666666666666,0.3048901098901099
147,West Ham United LFC,3775609,4,2,21,0.122365699,True,True,1.809090909090909,2,4,3,Emily Louise van Egmond,0.2791277596920382,0.36363636363636365,0.4150044743697994
148,Aston Villa,3775633,0,1,11,0.010134946,True,True,2.188888888888889,2,5,3.3,Marisa Ewers,0.2921192936879965,0.24444444444444444,0.3220658263305322
149,Aston Villa,3775633,1,1,36,0.11974211300000001,True,False,1.7666666666666666,Error,Error,Error,Error,0.2645722947534678,0.24444444444444444,0.49002923976608187
150,Aston Villa,3775633,2,2,15,0.0,True,False,0.6904761904761905,Error,Error,Error,Error,Error,0.19047619047619047,0
151,Aston Villa,3775633,3,2,22,0.091935694,True,False,1.711111111111111,Error,Error,Error,Error,0.2783074355550894,0.3111111111111111,0.3163526872737399
152,Aston Villa,3775633,4,2,19,0.0,True,False,0.7857142857142857,Error,Error,Error,Error,0.2651653622069348,0.17857142857142858,0.08333333333333333
153,Tottenham Hotspur Women,3775633,0,1,11,0.025158163,True,True,1.7545454545454546,2,3,2.4545454545454546,Abbie McManus,0.2902649315714729,0.38181818181818183,0.4456046786298368
154,Tottenham Hotspur Women,3775633,1,1,34,0.216983872,True,True,1.5272727272727273,2,3,2.272727272727273,Abbie McManus,0.28891383043820024,0.5181818181818182,0.5926964532202971
155,Tottenham Hotspur Women,3775633,2,2,15,0.01131817,True,True,1.7545454545454546,2,4,2.6363636363636362,Abbie McManus,0.28294836972595716,0.38181818181818183,0.4054127690491327
156,Tottenham Hotspur Women,3775633,3,2,21,0.054414432,True,True,1.6181818181818182,2,3,2.4545454545454546,Abbie McManus,0.2880542471212438,0.44545454545454544,0.60671298953011
157,Tottenham Hotspur Women,3775633,4,2,19,0.213798475,True,True,1.4636363636363636,2,2,2,Abbie McManus,0.2893708020907614,0.5363636363636364,0.5998002512788612
158,Brighton & Hove Albion WFC,3775570,0,1,21,0.013761683,True,True,1.8454545454545455,2,4,3,Danique Kerkdijk,0.29225394638050095,0.34545454545454546,0.33377008424855314
159,Brighton & Hove Albion WFC,3775570,1,1,24,0.0,True,True,1.7,2,3,2.5454545454545454,Danique Kerkdijk,0.28627922973281683,0.37272727272727274,0.41987766755208616
160,Brighton & Hove Albion WFC,3775570,2,2,17,0.020038933,True,True,2.2181818181818183,3,5,3.4545454545454546,Danique Kerkdijk,0.2889528551024372,0.2818181818181818,0.2813582616214195
161,Brighton & Hove Albion WFC,3775570,3,2,15,0.45115801899999997,True,False,1.2222222222222223,Error,Error,Error,Error,0.2528330643735505,0.32222222222222224,0.4169018895334685
162,Brighton & Hove Albion WFC,3775570,4,2,15,0.086345255,True,False,2.8545454545454545,Error,Error,Error,Error,0.2574313853638115,0.16363636363636364,0
163,Everton LFC,3775570,0,1,23,0.973912707,True,True,1.6,2,3,2.272727272727273,Abbey-Leigh Stringer,0.2918865334269915,0.43636363636363634,0.4290166288503317
